Date_of_Sale,Customer_Name,Age,Gender,Location,Laptop_Brand,Model,Processor,RAM_Size,Storage_Size,Price,Discount_Applied,Final_Price,Payment_Method,Warranty_Period,Customer_Rating,Sales_Channel
16-01-2025,Cody Garcia,58,Male,Port Breannachester,Dell,Dell 859,i7,8GB,512GB SSD,8710,23,6706.7,Credit Card,3,5,Offline
20-01-2025,Monica Bell,20,Male,Patelhaven,HP,HP 323,i5,4GB,512GB SSD,20180,7,18767.4,Net Banking,3,3,Online
23-01-2025,Michelle Delgado,62,Female,Patriciaville,Asus,Asus 384,i5,8GB,1TB HDD,7180,2,7036.4,Net Banking,1,3,Offline
15-01-2025,Brianna Rasmussen,20,Other,South Georgestad,Samsung,Samsung 649,i3,32GB,256GB SSD,15000,26,11100,Cash,2,5,Online
09-01-2025,Jeremiah Young,20,Other,Reillyland,Lenovo,Lenovo 891,i7,4GB,512GB SSD,7130,12,6274.4,UPI,2,3,Offline
17-01-2025,Jennifer Williams,40,Male,Simpsonbury,Acer,Acer 818,Ryzen 7,4GB,512GB SSD,24870,23,19149.9,Debit Card,1,4,Offline
08-01-2025,Jillian Martin,58,Other,East Garymouth,Lenovo,Lenovo 801,i7,4GB,512GB SSD,4310,25,3232.5,UPI,2,3,Online
14-01-2025,Dr. Julie Herman PhD,54,Other,Arellanoville,Asus,Asus 317,Ryzen 7,32GB,1TB SSD,21790,4,20918.4,UPI,1,2,Offline
07-01-2025,Stephen Sullivan,65,Other,Gardnerfort,MSI,MSI 697,Ryzen 3,16GB,512GB SSD,8660,16,7274.4,Net Banking,1,1,Online
20-01-2025,Christopher Bryan,58,Male,Port Jared,MSI,MSI 710,i3,32GB,1TB SSD,22170,16,18622.8,UPI,3,1,Offline
23-01-2025,Helen Santiago,59,Female,North Andrew,HP,HP 400,Ryzen 3,8GB,1TB SSD,3130,30,2191,UPI,3,2,Online
23-01-2025,Herbert Johnson PhD,58,Female,Santanaborough,Lenovo,Lenovo 256,i7,8GB,256GB SSD,16270,15,13829.5,Credit Card,1,3,Online
06-01-2025,Derrick Martin,21,Male,Port Lisamouth,HP,HP 187,Ryzen 7,32GB,256GB SSD,24810,24,18855.6,Debit Card,1,4,Offline
20-01-2025,David Hansen,51,Other,New Danielport,MSI,MSI 316,Ryzen 5,8GB,1TB HDD,19340,21,15278.6,UPI,2,5,Online
04-01-2025,Brett Novak,33,Male,North Nicholasville,HP,HP 446,i3,8GB,512GB SSD,3290,2,3224.2,Credit Card,1,1,Offline
01-01-2025,Nicholas Johnson,22,Other,Davistown,Lenovo,Lenovo 385,Ryzen 7,32GB,512GB SSD,8410,23,6475.7,Cash,3,4,Offline
13-01-2025,Emily Thomas,44,Male,Port Zacharyburgh,HP,HP 199,Ryzen 7,32GB,1TB HDD,20340,13,17695.8,Net Banking,3,1,Online
15-01-2025,William Smith,43,Other,Port Oliviamouth,Asus,Asus 919,i3,8GB,512GB SSD,10790,17,8955.7,Net Banking,1,4,Offline
16-01-2025,Brittany Shields,47,Male,Smithton,HP,HP 553,Ryzen 5,4GB,256GB SSD,3600,2,3528,Debit Card,1,4,Offline
15-01-2025,Cindy Clark,31,Female,New Michaelport,Dell,Dell 268,Ryzen 3,4GB,1TB SSD,13860,29,9840.6,Net Banking,2,4,Online
22-01-2025,Michael White,30,Female,East Amandafort,Lenovo,Lenovo 159,Ryzen 5,4GB,1TB HDD,5340,1,5286.6,Cash,2,5,Online
23-01-2025,Jennifer Young,21,Other,Whitakerville,HP,HP 971,i5,4GB,256GB SSD,12630,12,11114.4,Credit Card,3,2,Online
07-01-2025,Dr. Amy Benjamin MD,44,Other,Moralesside,Asus,Asus 367,i5,16GB,512GB SSD,13870,12,12205.6,Debit Card,3,3,Offline
01-01-2025,Lauren Trujillo,22,Male,New Eric,Samsung,Samsung 736,Ryzen 5,4GB,256GB SSD,11730,16,9853.2,UPI,1,3,Online
17-01-2025,David Gutierrez,41,Female,West Benjamin,Apple,Apple 548,Ryzen 5,16GB,256GB SSD,15260,29,10834.6,Credit Card,1,3,Online
15-01-2025,Spencer Garcia,65,Other,Rodriguezview,Apple,Apple 378,i7,8GB,1TB HDD,11330,21,8950.7,UPI,3,4,Online
23-01-2025,Ms. Andrea Johnson,23,Other,Christophershire,MSI,MSI 949,i7,4GB,256GB SSD,16660,24,12661.6,Debit Card,3,3,Offline
03-01-2025,Rose Burgess,53,Other,Michaelport,MSI,MSI 674,i3,4GB,256GB SSD,9100,17,7553,Credit Card,2,5,Offline
23-01-2025,Cynthia Bell,26,Male,Scottmouth,Acer,Acer 473,i3,16GB,512GB SSD,13220,21,10443.8,Credit Card,2,5,Online
19-01-2025,Aaron Fleming,33,Male,East Charles,Apple,Apple 522,i3,8GB,1TB HDD,19860,25,14895,Debit Card,2,2,Offline
17-01-2025,Susan Mcmahon,20,Female,Natashamouth,Lenovo,Lenovo 304,Ryzen 3,16GB,1TB HDD,12320,7,11457.6,Credit Card,3,2,Offline
14-01-2025,Bradley Bishop,35,Male,Thompsontown,Acer,Acer 459,Ryzen 7,32GB,1TB HDD,4130,3,4006.1,UPI,1,5,Online
13-01-2025,Megan Williams,24,Other,Port Natalie,MSI,MSI 453,Ryzen 7,16GB,1TB SSD,23940,3,23221.8,Net Banking,3,2,Online
20-01-2025,Rebecca Garcia,63,Female,West Samanthaton,Dell,Dell 632,Ryzen 5,8GB,1TB HDD,20660,2,20246.8,UPI,3,3,Offline
14-01-2025,Glen Stephens,50,Female,Lake Jordan,MSI,MSI 434,Ryzen 3,16GB,512GB SSD,10850,13,9439.5,Net Banking,3,2,Offline
14-01-2025,Julia Parrish,53,Male,Stonebury,Acer,Acer 393,i5,32GB,1TB HDD,22040,14,18954.4,Net Banking,3,2,Offline
22-01-2025,Benjamin Brown,65,Male,Floresburgh,HP,HP 390,Ryzen 5,16GB,256GB SSD,12620,21,9969.8,UPI,1,2,Online
01-01-2025,Shannon Wilson,20,Male,Port Adammouth,Samsung,Samsung 725,i3,32GB,1TB SSD,10960,22,8548.8,Net Banking,2,4,Online
06-01-2025,David Mack,59,Other,West Anthony,Dell,Dell 868,i3,32GB,512GB SSD,10200,25,7650,Cash,2,1,Online
14-01-2025,Todd Lucero,47,Male,Gilbertstad,Samsung,Samsung 783,Ryzen 5,16GB,1TB SSD,23670,13,20592.9,Cash,2,2,Offline
10-01-2025,Andrea Cain,34,Male,Copelandstad,Acer,Acer 884,Ryzen 5,32GB,512GB SSD,14240,14,12246.4,Credit Card,3,3,Offline
04-01-2025,Donald Miranda,39,Female,Karenbury,HP,HP 241,i5,8GB,1TB SSD,9250,22,7215,Debit Card,1,4,Offline
14-01-2025,Kelly Barrett,52,Female,Fergusonhaven,MSI,MSI 163,i5,32GB,1TB SSD,3800,27,2774,Cash,2,4,Offline
